PM1,PM2.5,PM10,Tempature,Gas,Humidity,Pressure,Altitude,Time in Seconds,Time
0,0,0,23.525703125,24360,16.926901076754763,1012.2496128965187,8.332237728239111,1676507137.886241,2023-02-15 16:25:37.886249
0,0,0,23.520625,24586,16.94578231358628,1012.2477733732894,8.347565282380048,1676507139.0857992,2023-02-15 16:25:39.085807
0,0,0,23.5180859375,24787,16.95043821014203,1012.2519308900133,8.312923423781374,1676507140.2854211,2023-02-15 16:25:40.285430
0,0,0,23.514375,25155,16.95503438609542,1012.2422545585405,8.393550122062978,1676507141.4786687,2023-02-15 16:25:41.478677
0,0,0,23.5118359375,25230,16.95969054491363,1012.2379498836974,8.429418432432227,1676507142.6782894,2023-02-15 16:25:42.678298
0,0,0,23.50734375,25503,16.95946104223156,1012.2371035659801,8.436470312122239,1676507143.8779526,2023-02-15 16:25:43.877960
0,0,0,23.50421875,25751,16.959301394545136,1012.2368826899275,8.4383107462555,1676507145.0773842,2023-02-15 16:25:45.077391
0,0,0,23.501875,25972,16.973540025744743,1012.2396786953759,8.415013252021064,1676507146.2766702,2023-02-15 16:25:46.276678
0,0,0,23.499921875,26148,16.973440175420468,1012.2380597578589,8.428502914472965,1676507147.476056,2023-02-15 16:25:47.476064
0,0,0,23.4977734375,26392,16.982903478957112,1012.234417296522,8.45885348502501,1676507148.6757169,2023-02-15 16:25:48.675725
0,0,0,23.495234375,26541,16.992347485014584,1012.2385744578299,8.42421421780129,1676507149.875258,2023-02-15 16:25:49.875265
0,0,0,23.4926953125,26624,16.992217557954753,1012.2359620769511,8.445981692463322,1676507151.0680537,2023-02-15 16:25:51.068062
0,0,0,23.49015625,27032,16.99208763434256,1012.2384267785854,8.42544474320548,1676507152.2675369,2023-02-15 16:25:52.267544
0,0,0,23.487421875,27240,16.982374051016365,1012.2422526508176,8.393566017961088,1676507153.4670315,2023-02-15 16:25:53.467039
0,0,0,23.4844921875,27346,16.99179781717006,1012.2305161757752,8.491359416243832,1676507154.666541,2023-02-15 16:25:54.666549
