PM1,PM2.5,PM10,Tempature,Gas,Humidity,Pressure,Altitude,TimeinSeconds,Time
0,0,0,22.9536328125,42556,17.400534921459148,1012.3214993162879,7.733272471942846,1676508933.570764,2023-02-15 16:55:33.570770
0,0,0,22.9567578125,42685,17.400697576441114,1012.3284920428932,7.675010171912708,1676508934.7653646,2023-02-15 16:55:34.765370
0,0,0,22.960859375,42901,17.391314530618565,1012.3168496595172,7.77201286241361,1676508935.9587429,2023-02-15 16:55:35.958749
0,0,0,22.9645703125,43032,17.40590285433217,1012.3180723892423,7.761825208947872,1676508937.1524649,2023-02-15 16:55:37.152470
0,0,0,22.9690625,43163,17.41573470652034,1012.3104743889013,7.825131097621444,1676508938.3468199,2023-02-15 16:55:38.346829
0,0,0,22.9727734375,43697,17.43512652433942,1012.311696961286,7.814944703154978,1676508939.539891,2023-02-15 16:55:39.539899
0,0,0,22.9758984375,43607,17.440089655337314,1012.3186895763657,7.756682875546095,1676508940.7328084,2023-02-15 16:55:40.732817
0,0,0,22.9805859375,43652,17.445134600683467,1012.3164957020691,7.774961999924567,1676508941.9322429,2023-02-15 16:55:41.932251
0,0,0,22.983515625,43969,17.450088131491526,1012.3214659143446,7.733550772474338,1676508943.1254873,2023-02-15 16:55:43.125496
0,0,0,22.9856640625,44152,17.45980224354157,1012.3200375641028,7.7454516027932865,1676508944.324978,2023-02-15 16:55:44.324987
0,0,0,22.988203125,44291,17.464736156469492,1012.3243450712694,7.709562048975611,1676508945.519136,2023-02-15 16:55:45.519144
0,0,0,22.9909375,44383,17.469680542918024,1012.3239107122549,7.713181062589713,1676508946.71871,2023-02-15 16:55:46.718719
0,0,0,22.9934765625,44570,17.46981320721049,1012.3113074184657,7.818190347795505,1676508947.9122367,2023-02-15 16:55:47.912245
0,0,0,22.99875,44806,17.474890608512762,1012.3202536351056,7.743651326144917,1676508949.112143,2023-02-15 16:55:49.112152
0,0,0,23.00265625,44901,17.484699189046438,1012.3285715808099,7.674347476357691,1676508950.3076632,2023-02-15 16:55:50.307672
0,0,0,23.006953125,44996,17.489726454710546,1012.3240233302354,7.712242746486981,1676508951.5004666,2023-02-15 16:55:51.500476
0,0,0,23.0110546875,45381,17.480335977966035,1012.3242169756164,7.710629322452815,1676508952.694297,2023-02-15 16:55:52.694306
0,0,0,23.013984375,45284,17.485291611884392,1012.3241136587924,7.71149014257574,1676508953.8873787,2023-02-15 16:55:53.887388
0,0,0,23.0157421875,45381,17.48058107146718,1012.3220222852215,7.7289151656331505,1676508955.0804648,2023-02-15 16:55:55.080475
0,0,0,23.01828125,45675,17.46150580852213,1012.3280208017977,7.678936468481393,1676508956.2733293,2023-02-15 16:55:56.273339
0,0,0,23.0212109375,45872,17.442453876248663,1012.3245351031042,7.707978732864901,1676508957.4729002,2023-02-15 16:55:57.472909
0,0,0,23.0227734375,45823,17.42333356685478,1012.3254946279469,7.699984122670588,1676508958.6666934,2023-02-15 16:55:58.666703
0,0,0,23.024921875,46122,17.39944762958044,1012.3240658274788,7.711888665858659,1676508959.8686635,2023-02-15 16:55:59.868672
0,0,0,23.026484375,46172,17.375535945929354,1012.3250253307128,7.703894232704814,1676508961.0624824,2023-02-15 16:56:01.062490
0,0,0,23.0274609375,46374,17.361193271529494,1012.3249908291436,7.704181694356981,1676508962.2565582,2023-02-15 16:56:02.256567
