PM1,PM2.5,PM10,Tempature,Gas,Humidity,Pressure,Altitude,TimeinSeconds,Time
4,8,9,22.4915234375,52760,27.200976277741834,996.8780056822102,137.208499695491,1677110979.917872,2023-02-22 16:09:39.917879
4,8,9,22.40734375,52433,26.656315526671015,996.8689082263551,137.28524817332226,1677110981.1188834,2023-02-22 16:09:41.118892
3,7,7,22.3653515625,51135,26.24580716872003,996.8560695067406,137.39355987956196,1677110982.313455,2023-02-22 16:09:42.313464
3,7,7,22.3294140625,51352,26.253438179191512,996.8415353595618,137.51617613938814,1677110983.513079,2023-02-22 16:09:43.513087
3,7,7,22.26828125,51728,26.326142026188133,996.8304274864174,137.60988786715117,1677110984.7124035,2023-02-22 16:09:44.712412
2,6,7,22.1778515625,52727,26.32457457016881,996.8158629830094,137.73276278582088,1677110985.9052866,2023-02-22 16:09:45.905295
2,6,7,22.090546875,51477,26.292353997532267,996.813247040054,137.75483260940652,1677110987.1048615,2023-02-22 16:09:47.104869
2,6,7,21.9942578125,52661,26.33669471233096,996.8208756974004,137.69047234547466,1677110988.2976913,2023-02-22 16:09:48.297700
2,5,6,21.8878125,51919,26.41118369162134,996.8097748842695,137.78412608269574,1677110989.492008,2023-02-22 16:09:49.492017
2,5,6,21.8122265625,51571,26.518906451638767,996.8030467360211,137.84088956329236,1677110990.686166,2023-02-22 16:09:50.686174
2,5,6,21.763203125,50495,26.742190438661495,996.8171439844525,137.72195542817275,1677110991.8858323,2023-02-22 16:09:51.885840
2,4,5,21.7176953125,49929,27.188583606877838,996.8101248302821,137.78117369581892,1677110993.0786004,2023-02-22 16:09:53.078608
2,4,5,21.6883984375,48891,27.783212197919656,996.8099960045263,137.78226055899702,1677110994.2781878,2023-02-22 16:09:54.278196
2,4,5,21.656171875,48583,28.53176377678028,996.7948386081538,137.91013963273633,1677110995.470997,2023-02-22 16:09:55.471006
2,4,5,21.6313671875,49405,29.279698781459047,996.7870439988037,137.97590136985573,1677110996.6638994,2023-02-22 16:09:56.663909
2,4,5,21.603046875,50920,29.798934475861827,996.8205841814832,137.6929317540718,1677110997.856747,2023-02-22 16:09:57.856755
2,4,5,21.5731640625,49870,29.997171851863488,996.8396965253385,137.53168943173625,1677110999.056243,2023-02-22 16:09:59.056251
2,4,5,21.58859375,49376,30.241780448303103,996.8334883503034,137.5840647616041,1677111000.2492454,2023-02-22 16:10:00.249254
2,4,5,21.5923046875,49958,30.740662077041655,996.8481342507246,137.46050490178112,1677111001.4490917,2023-02-22 16:10:01.449100
2,4,5,21.6106640625,49004,31.082689948874297,996.8400838187484,137.52842203581991,1677111002.641904,2023-02-22 16:10:02.641914
2,3,4,21.6227734375,49782,31.441050090655512,996.819880735615,137.69886646093786,1677111003.8417368,2023-02-22 16:10:03.841746
2,3,4,21.6083203125,50315,31.605440430337463,996.805801851428,137.81764539765567,1677111005.0374734,2023-02-22 16:10:05.037482
2,3,4,21.605,50225,31.658624209965637,996.7850639801641,137.99260650238597,1677111006.2430055,2023-02-22 16:10:06.243014
2,3,4,21.57296875,50950,31.720045430451194,996.758419817231,138.21740208699163,1677111007.4498813,2023-02-22 16:10:07.449889
2,3,4,21.4891796875,51887,31.659326050082186,996.7496648189575,138.29126866921735,1677111008.647838,2023-02-22 16:10:08.647847
2,3,4,21.4243359375,51982,31.40802204326159,996.7506869594191,138.28264476579506,1677111009.8415895,2023-02-22 16:10:09.841598
3,4,5,21.3946484375,52239,31.24547158404778,996.7481829808913,138.30377110098155,1677111011.03585,2023-02-22 16:10:11.035859
3,4,5,21.3673046875,52563,31.157882307354257,996.7614016311323,138.19224441764234,1677111012.229867,2023-02-22 16:10:12.229876
3,4,5,21.32140625,53628,31.047490747286155,996.784001656885,138.0015691822007,1677111013.4307232,2023-02-22 16:10:13.430731
4,5,6,21.2809765625,53936,30.788839114953202,996.7837204974724,138.0039412879613,1677111014.6354342,2023-02-22 16:10:14.635443
4,5,6,21.2649609375,53190,30.474419853373085,996.7703825136906,138.11647276200372,1677111015.8348677,2023-02-22 16:10:15.834876
4,5,6,21.262421875,52465,30.25706152617059,996.7577018008831,138.22346002542102,1677111017.034137,2023-02-22 16:10:17.034145
5,6,7,21.2825390625,51950,30.20581512452707,996.7391379055449,138.38008572900253,1677111018.2342072,2023-02-22 16:10:18.234215
5,6,7,21.3051953125,50889,30.41947773921788,996.7214517104828,138.52930837230977,1677111019.427188,2023-02-22 16:10:19.427197
5,6,7,21.3317578125,50374,30.761236926414377,996.7103034810689,138.62336974272992,1677111020.6262963,2023-02-22 16:10:20.626304
6,8,8,21.3415234375,51571,31.262266487542163,996.7165420643718,138.5707326069682,1677111021.8190138,2023-02-22 16:10:21.819021
6,8,8,21.3528515625,52174,31.492646940101857,996.7203393447522,138.5386937387784,1677111023.0114377,2023-02-22 16:10:23.011446
6,8,8,21.3571484375,52924,31.53573859147764,996.7359642913839,138.40686211028134,1677111024.2111087,2023-02-22 16:10:24.211117
7,9,9,21.361640625,53324,31.33330157866266,996.7468587446717,138.3149438412533,1677111025.4112492,2023-02-22 16:10:25.411257
7,9,9,21.36359375,54108,31.051066041116034,996.772046263576,138.10243577426846,1677111026.6052408,2023-02-22 16:10:26.605249
7,9,9,21.38703125,53291,30.808392318789917,996.8079242100195,137.79973966609109,1677111027.8065665,2023-02-22 16:10:27.806574
7,10,10,21.383515625,54004,30.558556733255124,996.8138384427829,137.74984314103762,1677111029.0072455,2023-02-22 16:10:29.007254
7,10,10,21.387421875,54281,30.495241692700898,996.8220661490273,137.6804289652343,1677111030.200125,2023-02-22 16:10:30.200133
7,10,10,21.3899609375,54351,30.283521462632155,996.8111444852034,137.77257118564435,1677111031.3930833,2023-02-22 16:10:31.393093
8,11,12,21.3962109375,53392,30.141165340682186,996.8249831558323,137.6558193473532,1677111032.592653,2023-02-22 16:10:32.592661
8,11,12,21.3977734375,53493,30.278875887890315,996.8360298365884,137.56262345557968,1677111033.7869146,2023-02-22 16:10:33.786923
8,11,12,21.4403515625,51919,30.436042734074313,996.8449496891858,137.4873712694632,1677111034.979869,2023-02-22 16:10:34.979877
9,12,12,21.51203125,51290,30.60646387482194,996.8250258819113,137.65545888497516,1677111036.1728942,2023-02-22 16:10:36.172903
9,12,12,21.5450390625,51855,31.24230361907272,996.8381372408315,137.54484432600626,1677111037.3658717,2023-02-22 16:10:37.365880
9,12,12,21.5782421875,51383,31.634925609630898,996.8414533659073,137.516867876908,1677111038.565423,2023-02-22 16:10:38.565431
10,13,13,21.6196484375,51073,32.05620265084554,996.8551264867236,137.40151555441267,1677111039.759712,2023-02-22 16:10:39.759721
10,13,13,21.6602734375,52760,32.17779273186049,996.8472456177157,137.46800179534338,1677111040.9596756,2023-02-22 16:10:40.959685
10,13,13,21.7188671875,52498,32.2258789070099,996.8441364327471,137.49423227111265,1677111042.1625357,2023-02-22 16:10:42.162545
